"Sr. No.","Work category","WORK","State","IDA","Hon'ble Members of Parliament","Constituency","Work description","Recommended date","RECOMMENDED AMOUNT   ( ₹ )","Sanction Date"
"136","Normal/Others","NA-Installation of multi-gym equipment","Punjab","LUDHIANA(DEPUTY COMMISSIONER LUDHIANA_IDA)","AMRINDER SINGH RAJA WARRING","LUDHIANA","Provisioning of Multi Garden Gym Machines In Golden Avenue Park, Ward no. 7, Halka East, Distt. Ludhiana","20-Jan-2026","400000","NA"
"137","Normal/Others","NA-Installation of multi-gym equipment","Punjab","LUDHIANA(DEPUTY COMMISSIONER LUDHIANA_IDA)","AMRINDER SINGH RAJA WARRING","LUDHIANA","Provisioning of Multi Garden Gym Machines in Sant Sunder Singh Nagar, Dhandra Road, Vill. Tera Nagar, Block Ludhiana-1, Halka, Gill, Distt. Ludhiana","10-Mar-2026","400000","NA"
"138","Normal/Others","NA-Installation of multi-gym equipment","Punjab","LUDHIANA(DEPUTY COMMISSIONER LUDHIANA_IDA)","AMRINDER SINGH RAJA WARRING","LUDHIANA","Provisioning of Multi Garden Gym Machines in Vill. Janta Enclave, Block Ludhiana-1, Halka, Gill, Distt. Ludhian","10-Mar-2026","400000","NA"
"139","Normal/Others","NA-Installation of multi-gym equipment","Punjab","LUDHIANA(DEPUTY COMMISSIONER LUDHIANA_IDA)","AMRINDER SINGH RAJA WARRING","LUDHIANA","Provisioning of Multi Garden Gym Machines in Vill. Basant Avenue, Block Ludhiana-1, Halka, Gill, Distt. Ludhian","10-Mar-2026","400000","NA"
"140","Normal/Others","NA-Installation of fixed garden gym equipment","Punjab","LUDHIANA(DEPUTY COMMISSIONER LUDHIANA_IDA)","AMRINDER SINGH RAJA WARRING","LUDHIANA","Provisioning of Indoor Gym Machines in Village Lakha, Block Jagraon, Halka, Jagraon, Distt. Ludhiana","10-Mar-2026","200000","NA"
"141","Normal/Others","NA-Installation of fixed garden gym equipment","Punjab","LUDHIANA(DEPUTY COMMISSIONER LUDHIANA_IDA)","AMRINDER SINGH RAJA WARRING","LUDHIANA","Provisioning of Indoor Gym Machines in The Shamsher Nagar (Defence Colony), Housing Co-Op Maintenance Society Ltd., BRS Nagar, Ward no.73, Distt. Ludhiana","09-Feb-2026","200000","NA"
"142","Normal/Others","NA-Installation of fixed garden gym equipment","Punjab","LUDHIANA(DEPUTY COMMISSIONER LUDHIANA_IDA)","AMRINDER SINGH RAJA WARRING","LUDHIANA","Provisioning of Multi Garden Gym Machines in Park of Near Dana Mandi Road, Ward no. 46, Distt. Ludhiana","27-Mar-2026","400000","NA"
"143","Normal/Others","WS/MP18157/2024-2025/163154-Installation of fixed garden gym equipment","Punjab","LUDHIANA(DEPUTY COMMISSIONER LUDHIANA_IDA)","AMRINDER SINGH RAJA WARRING","LUDHIANA","Provisioning of Multi Garden Gym Machines in Park, Ward no-40, Distt. Ludhiana","02-Jan-2025","399178","30-Jan-2025"
"144","Normal/Others","WS/MP18157/2024-2025/163170-Installation of fixed garden gym equipment","Punjab","LUDHIANA(DEPUTY COMMISSIONER LUDHIANA_IDA)","AMRINDER SINGH RAJA WARRING","LUDHIANA","Provisioning of Multi Garden Gym Machines in Park, Ward no-30, Distt. Ludhiana","02-Jan-2025","399178","30-Jan-2025"
"145","Normal/Others","WS/MP18157/2024-2025/163172-Installation of fixed garden gym equipment","Punjab","LUDHIANA(DEPUTY COMMISSIONER LUDHIANA_IDA)","AMRINDER SINGH RAJA WARRING","LUDHIANA","Provisioning of Multi Garden Gym Machines, Pashuram Park, Ward no-50, Distt. Ludhiana","02-Jan-2025","399178","30-Jan-2025"
"146","Normal/Others","WS/MP18157/2024-2025/163179-Installation of fixed garden gym equipment","Punjab","LUDHIANA(DEPUTY COMMISSIONER LUDHIANA_IDA)","AMRINDER SINGH RAJA WARRING","LUDHIANA","Provisioning of Multi Garden Gym Machines, 125 gaj vala Park, Phase-2, Ward no-44, Distt. Ludhiana","02-Jan-2025","399178","30-Jan-2025"
"147","Normal/Others","WS/MP18157/2024-2025/163181-Installation of fixed garden gym equipment","Punjab","LUDHIANA(DEPUTY COMMISSIONER LUDHIANA_IDA)","AMRINDER SINGH RAJA WARRING","LUDHIANA","Provisioning of Multi Garden Gym Machines, 150gaj vala Park, Phase-2, Ward no-44, Distt. Ludhiana","02-Jan-2025","399178","30-Jan-2025"
"148","Normal/Others","WS/MP18157/2024-2025/163182-Installation of fixed garden gym equipment","Punjab","LUDHIANA(DEPUTY COMMISSIONER LUDHIANA_IDA)","AMRINDER SINGH RAJA WARRING","LUDHIANA","Provisioning of Multi Garden Gym Machines, 150gaj vala Park, Back Side LIC Office, Phase-1, Dugri, Ward no-44, Distt. Ludhiana","02-Jan-2025","399178","30-Jan-2025"
"149","Normal/Others","WS/MP18157/2024-2025/163198-Installation of fixed garden gym equipment","Punjab","LUDHIANA(DEPUTY COMMISSIONER LUDHIANA_IDA)","AMRINDER SINGH RAJA WARRING","LUDHIANA","Provisioning of Multi Garden Gym Machines, Park at LIG Flat Phase-1, Opp. Kohli Property Dealer, Ward no-44, Distt. Ludhiana","02-Jan-2025","399178","30-Jan-2025"
"150","Normal/Others","WS/MP18157/2024-2025/163203-Installation of fixed garden gym equipment","Punjab","LUDHIANA(DEPUTY COMMISSIONER LUDHIANA_IDA)","AMRINDER SINGH RAJA WARRING","LUDHIANA","Provisioning of Multi Garden Gym Machines, Tube well vala Park, Main Dugri Road, Opp. Petrol Pump, Ward no-44, Distt. Ludhiana","02-Jan-2025","399178","30-Jan-2025"
"151","Normal/Others","WS/MP18157/2024-2025/163206-Installation of fixed garden gym equipment","Punjab","LUDHIANA(DEPUTY COMMISSIONER LUDHIANA_IDA)","AMRINDER SINGH RAJA WARRING","LUDHIANA","Provisioning of Multi Garden Gym Machines, Basant Park, Jaimal Road, Janta Nagar, Ward no-41, Distt. Ludhiana","02-Jan-2025","399178","30-Jan-2025"
"152","Normal/Others","WS/MP18157/2025-2026/163208-Installation of fixed garden gym equipment","Punjab","LUDHIANA(DEPUTY COMMISSIONER LUDHIANA_IDA)","AMRINDER SINGH RAJA WARRING","LUDHIANA","Provisioning of Multi Garden Gym Machines, Wine Wood Colony, Ishar Nagar, Ward no-34, Distt. Ludhiana","02-Jan-2025","399178","03-Oct-2025"
"153","Normal/Others","WS/MP18157/2024-2025/157069-Development of public parks","Punjab","LUDHIANA(DEPUTY COMMISSIONER LUDHIANA_IDA)","AMRINDER SINGH RAJA WARRING","LUDHIANA","Installation Rain Shelter Mini Rose Garden Park, New Kidwai Nagar, Ward no-53, Distt. Ludhiana","05-Dec-2024","800000","05-Mar-2025"
"154","Normal/Others","WS/MP18157/2024-2025/172494-Development of public parks","Punjab","LUDHIANA(DEPUTY COMMISSIONER LUDHIANA_IDA)","AMRINDER SINGH RAJA WARRING","LUDHIANA","Construction of Boundary Wall and fencing of Park in Village Dhandra, Block Ludhiana-1, Distt. Ludhiana","04-Feb-2025","500000","17-Mar-2025"
"155","Normal/Others","NA-Development of public parks","Punjab","LUDHIANA(DEPUTY COMMISSIONER LUDHIANA_IDA)","AMRINDER SINGH RAJA WARRING","LUDHIANA","Provision of canopy and Playground Swings In Rajguru Nagar Park, 250-A, Rajguru Nagar, Block-A, Distt. Ludhiana","27-Mar-2026","500000","NA"
"156","Normal/Others","WS/MP18157/2026-2027/276677-Development of public parks","Punjab","LUDHIANA(DEPUTY COMMISSIONER LUDHIANA_IDA)","AMRINDER SINGH RAJA WARRING","LUDHIANA","Provision of Grass and Grass Sprinkler In Park of Vill. Boparai Kalan, Block Sudhar, Distt. Ludhiana","30-Mar-2026","200000","30-Jul-2026"
"157","Normal/Others","WS/MP18157/2026-2027/276678-Development of public parks","Punjab","LUDHIANA(DEPUTY COMMISSIONER LUDHIANA_IDA)","AMRINDER SINGH RAJA WARRING","LUDHIANA","Provisioning of Swings in Playground In Park of Vill. Boparai Kalan, Block Sudhar, Distt. Ludhiana","30-Mar-2026","100000","30-Jul-2026"
"158","Normal/Others","WS/MP18157/2026-2027/276673-Development of public parks","Punjab","LUDHIANA(DEPUTY COMMISSIONER LUDHIANA_IDA)","AMRINDER SINGH RAJA WARRING","LUDHIANA","Construction of Walking Path with interlocking tiles in Park of Vill. Boparai Kalan, Block Sudhar, Distt. Ludhiana","30-Mar-2026","500000","04-Aug-2026"
"159","Normal/Others","NA-Development of public parks","Punjab","LUDHIANA(DEPUTY COMMISSIONER LUDHIANA_IDA)","AMRINDER SINGH RAJA WARRING","LUDHIANA","Provisioning of Swings in Playground In Vill Tera Nagar, Block Ludhiana-1, Halka, Gill, Distt. Ludhian","10-Mar-2026","100000","NA"
"160","Normal/Others","NA-Development of playfields and sports grounds","Punjab","LUDHIANA(DEPUTY COMMISSIONER LUDHIANA_IDA)","AMRINDER SINGH RAJA WARRING","LUDHIANA","Construction of New Volleyball Court in Industrial Estate Playground in Play Ground of Ward no. 74, Halka Central,  Distt. Ludhiana","20-Jan-2026","700000","NA"
"161","Repair and Renovation","WS/MP18157/2025-2026/188767-Development of playfields and sports grounds","Punjab","LUDHIANA(DEPUTY COMMISSIONER LUDHIANA_IDA)","AMRINDER SINGH RAJA WARRING","LUDHIANA","Repair and Renovation of Boundary Wall of Play Ground in Vill. Khanjarwal, Block Sidhwan Bet, Distt. Ludhiana","02-Apr-2025","200000","08-May-2025"
"162","Normal/Others","WS/MP18157/2025-2026/188772-Development of playfields and sports grounds","Punjab","LUDHIANA(DEPUTY COMMISSIONER LUDHIANA_IDA)","AMRINDER SINGH RAJA WARRING","LUDHIANA","Construction of New volleyball and new badminton court in Vill. Play Ground, Vill.  Gahor, Block Sudhar, Distt. Ludhiana","02-Apr-2025","300000","07-May-2025"
"163","Normal/Others","WS/MP18157/2026-2027/260382-Lighting of public spaces","Punjab","LUDHIANA(DEPUTY COMMISSIONER LUDHIANA_IDA)","AMRINDER SINGH RAJA WARRING","LUDHIANA","Installation of High Mast Light at Old Sabji Mandi Chowk, Ward no. 85, Halka Central, Distt. Ludhiana","20-Jan-2026","699673","16-Apr-2026"
"164","Normal/Others","WS/MP18157/2025-2026/157059-Setting up public non-conventional energy plants","Punjab","LUDHIANA(DEPUTY COMMISSIONER LUDHIANA_IDA)","AMRINDER SINGH RAJA WARRING","LUDHIANA","Installation of 12-KW Solar system plant at Government College for Girls, Bharat Nagar Chowk, Ward no-66, Distt. Ludhiana","05-Dec-2024","503856","26-Nov-2025"
"165","Normal/Others","WS/MP18157/2025-2026/157061-Setting up public non-conventional energy plants","Punjab","LUDHIANA(DEPUTY COMMISSIONER LUDHIANA_IDA)","AMRINDER SINGH RAJA WARRING","LUDHIANA","Installation of 20KW Solar system plant at Government College East, Sector-39, Chandigarh Road, Distt. Ludhiana","05-Dec-2024","839760","26-Nov-2025"
"166","Normal/Others","WS/MP18157/2025-2026/172341-Street lights","Punjab","LUDHIANA(DEPUTY COMMISSIONER LUDHIANA_IDA)","AMRINDER SINGH RAJA WARRING","LUDHIANA","Installation of 15 Solar Lights in Village Bains, Block Ludhiana-1, Distt. Ludhiana","04-Feb-2025","150566","02-May-2025"
"167","Normal/Others","WS/MP18157/2025-2026/172343-Street lights","Punjab","LUDHIANA(DEPUTY COMMISSIONER LUDHIANA_IDA)","AMRINDER SINGH RAJA WARRING","LUDHIANA","Installation of 30 Solar Lights in Village Umaidpur, Block Dehlon, Distt. Ludhiana","04-Feb-2025","347460","02-May-2025"
"168","Normal/Others","WS/MP18157/2025-2026/172344-Street lights","Punjab","LUDHIANA(DEPUTY COMMISSIONER LUDHIANA_IDA)","AMRINDER SINGH RAJA WARRING","LUDHIANA","Installation of 34 Solar Lights in Village Nishant Bagh Colony, Block Ludhiana-1, Distt. Ludhiana","04-Feb-2025","393788","02-May-2025"
"169","Normal/Others","WS/MP18157/2025-2026/172345-Street lights","Punjab","LUDHIANA(DEPUTY COMMISSIONER LUDHIANA_IDA)","AMRINDER SINGH RAJA WARRING","LUDHIANA","Installation of 17 Solar Lights in Village Rajapur Patti, Block Ludhiana-1, Distt. Ludhiana","04-Feb-2025","196894","02-May-2025"
"170","Normal/Others","WS/MP18157/2025-2026/188688-Street lights","Punjab","LUDHIANA(DEPUTY COMMISSIONER LUDHIANA_IDA)","AMRINDER SINGH RAJA WARRING","LUDHIANA","Installation of Solar Lights In Vill. Phallewal, Block Pakhowal, Distt. Ludhiana","01-Apr-2025","222699","02-May-2025"
"171","Normal/Others","WS/MP18157/2025-2026/188689-Street lights","Punjab","LUDHIANA(DEPUTY COMMISSIONER LUDHIANA_IDA)","AMRINDER SINGH RAJA WARRING","LUDHIANA","Installation of Solar Lights In Vill. Gure, Block Sidhwan Bet, Distt Ludhiana","01-Apr-2025","164094","02-May-2025"
"172","Normal/Others","WS/MP18157/2025-2026/188690-Street lights","Punjab","LUDHIANA(DEPUTY COMMISSIONER LUDHIANA_IDA)","AMRINDER SINGH RAJA WARRING","LUDHIANA","Installation of Solar Lights In Vill. Jodhan, Block Pakhowal, Distt Ludhiana","01-Apr-2025","492282","02-May-2025"
"173","Normal/Others","WS/MP18157/2025-2026/188691-Street lights","Punjab","LUDHIANA(DEPUTY COMMISSIONER LUDHIANA_IDA)","AMRINDER SINGH RAJA WARRING","LUDHIANA","Installation of Solar Lights In Vill. Mohi, Block Sudhar, Distt Ludhiana","01-Apr-2025","281304","02-May-2025"
"174","Normal/Others","WS/MP18157/2025-2026/188692-Street lights","Punjab","LUDHIANA(DEPUTY COMMISSIONER LUDHIANA_IDA)","AMRINDER SINGH RAJA WARRING","LUDHIANA","Installation of Solar Lights In Vill. Majri, Block Sidhwan Bet, Distt. Ludhiana","01-Apr-2025","222699","02-May-2025"
"175","Normal/Others","WS/MP18157/2025-2026/188693-Street lights","Punjab","LUDHIANA(DEPUTY COMMISSIONER LUDHIANA_IDA)","AMRINDER SINGH RAJA WARRING","LUDHIANA","Installation of Solar Lights In Vill. Gorahur, Block Sidhwan Bet, Distt. Ludhiana","01-Apr-2025","164094","02-May-2025"
"176","Normal/Others","WS/MP18157/2025-2026/172365-Street lights","Punjab","LUDHIANA(DEPUTY COMMISSIONER LUDHIANA_IDA)","AMRINDER SINGH RAJA WARRING","LUDHIANA","Installation of LED Street Lights in Village Bhattian Bet, Block-1, Distt. Ludhiana","04-Feb-2025","249916","09-May-2025"
"177","Normal/Others","WS/MP18157/2025-2026/198815-Street lights","Punjab","LUDHIANA(DEPUTY COMMISSIONER LUDHIANA_IDA)","AMRINDER SINGH RAJA WARRING","LUDHIANA","Installation of Solar Lights in Village Majri, Block Sidhwan Bet, Distt. Ludhiana","13-May-2025","105489","28-Jul-2025"
"178","Normal/Others","WS/MP18157/2025-2026/232167-Street lights","Punjab","LUDHIANA(DEPUTY COMMISSIONER LUDHIANA_IDA)","AMRINDER SINGH RAJA WARRING","LUDHIANA","25 Solar lights in Vill. Hargobind Nagar (Mini Chhapar) Block Pakhowal, Distt. Ludhiana","08-Sep-2025","293025","26-Nov-2025"
"179","Normal/Others","WS/MP18157/2025-2026/241166-Street lights","Punjab","LUDHIANA(DEPUTY COMMISSIONER LUDHIANA_IDA)","AMRINDER SINGH RAJA WARRING","LUDHIANA","21 Solar lights In Vill. Rajjowal, Block Ludhiana-1, Distt. Ludhiana","09-Oct-2025","235557","14-Jan-2026"
"180","Normal/Others","WS/MP18157/2025-2026/241167-Street lights","Punjab","LUDHIANA(DEPUTY COMMISSIONER LUDHIANA_IDA)","AMRINDER SINGH RAJA WARRING","LUDHIANA","17 Solar lights In Vill. Dolon Khurd, Block Ludhiana-1, Distt. Ludhiana","09-Oct-2025","190689","14-Jan-2026"
"181","Normal/Others","WS/MP18157/2025-2026/241168-Street lights","Punjab","LUDHIANA(DEPUTY COMMISSIONER LUDHIANA_IDA)","AMRINDER SINGH RAJA WARRING","LUDHIANA","17 Solar lights In Nitesh Vihar Housing Welfare Society (Regd.), Vill. Shaheed Bhagat Singh Nagar, Block Ludhiana-1, Distt. Ludhiana","09-Oct-2025","190689","20-Jan-2026"
"182","Normal/Others","WS/MP18157/2025-2026/241169-Street lights","Punjab","LUDHIANA(DEPUTY COMMISSIONER LUDHIANA_IDA)","AMRINDER SINGH RAJA WARRING","LUDHIANA","17 Solar lights In Vill. Rania, Block Ludhiana-1, Distt. Ludhiana","09-Oct-2025","190689","14-Jan-2026"
"183","Normal/Others","WS/MP18157/2025-2026/241170-Street lights","Punjab","LUDHIANA(DEPUTY COMMISSIONER LUDHIANA_IDA)","AMRINDER SINGH RAJA WARRING","LUDHIANA","09 Solar lights In Vill. Qutabewal Araian, Block Ludhiana-1, Distt. Ludhiana","09-Oct-2025","100953","14-Jan-2026"
"184","Normal/Others","WS/MP18157/2025-2026/249625-Street lights","Punjab","LUDHIANA(DEPUTY COMMISSIONER LUDHIANA_IDA)","AMRINDER SINGH RAJA WARRING","LUDHIANA","50 Solar lights in Vill. Hambran, Block Ludhiana-1, Distt. Ludhiana","20-Nov-2025","560850","02-Jan-2026"
"185","Normal/Others","WS/MP18157/2026-2027/260441-Street lights","Punjab","LUDHIANA(DEPUTY COMMISSIONER LUDHIANA_IDA)","AMRINDER SINGH RAJA WARRING","LUDHIANA","Installation of 45 LED Street Lights In Ward no. 7, Halka East, Distt. Ludhiana","20-Jan-2026","209791","16-Apr-2026"
"186","Normal/Others","WS/MP18157/2026-2027/260443-Street lights","Punjab","LUDHIANA(DEPUTY COMMISSIONER LUDHIANA_IDA)","AMRINDER SINGH RAJA WARRING","LUDHIANA","Installation of 32 LED Street Lights In Ward no. 26, Halka East, Distt. Ludhiana","20-Jan-2026","149840","16-Apr-2026"
"187","Normal/Others","WS/MP18157/2026-2027/260445-Street lights","Punjab","LUDHIANA(DEPUTY COMMISSIONER LUDHIANA_IDA)","AMRINDER SINGH RAJA WARRING","LUDHIANA","Installation of 65 LED Street Lights In Ward no. 12, Distt. Halka East Ludhiana","20-Jan-2026","298932","16-Apr-2026"
"188","Normal/Others","WS/MP18157/2026-2027/260448-Street lights","Punjab","LUDHIANA(DEPUTY COMMISSIONER LUDHIANA_IDA)","AMRINDER SINGH RAJA WARRING","LUDHIANA","Installation of 110 LED Street Lights In Ward no. 93, Halka North Distt. Ludhiana","20-Jan-2026","499813","16-Apr-2026"
"189","Normal/Others","WS/MP18157/2026-2027/260455-Street lights","Punjab","LUDHIANA(DEPUTY COMMISSIONER LUDHIANA_IDA)","AMRINDER SINGH RAJA WARRING","LUDHIANA","Installation of 32 LED Street Lights In Ward no. 46, Halka Atam Nagar,  Distt. Ludhiana","20-Jan-2026","149392","16-Apr-2026"
"190","Normal/Others","WS/MP18157/2026-2027/260457-Street lights","Punjab","LUDHIANA(DEPUTY COMMISSIONER LUDHIANA_IDA)","AMRINDER SINGH RAJA WARRING","LUDHIANA","Installation of 30 LED Street Lights with Pool In Ward no. 2, Halka East,  Distt. Ludhiana","20-Jan-2026","299674","16-Apr-2026"
"191","Normal/Others","NA-Street lights","Punjab","LUDHIANA(DEPUTY COMMISSIONER LUDHIANA_IDA)","AMRINDER SINGH RAJA WARRING","LUDHIANA","Installation of 4 Solar Lights In Vill. Ghungrana, Block Pakhowal, Distt. Ludhiana","30-Mar-2026","48000","NA"
"192","Normal/Others","WS/MP18157/2026-2027/276276-Street lights","Punjab","LUDHIANA(DEPUTY COMMISSIONER LUDHIANA_IDA)","AMRINDER SINGH RAJA WARRING","LUDHIANA","Installation of 32 LED Street Lights with Pole In Back side Police Station Dugri to Jain Mandir (200ft Road), Ward no. 48, Distt. Ludhiana","27-Mar-2026","349888","15-Jul-2026"
"193","Normal/Others","WS/MP18157/2026-2027/276278-Street lights","Punjab","LUDHIANA(DEPUTY COMMISSIONER LUDHIANA_IDA)","AMRINDER SINGH RAJA WARRING","LUDHIANA","Installation of 50 LED Street Lights In Ward no. 66, Distt. Ludhiana","27-Mar-2026","149979","15-Jul-2026"
"194","Normal/Others","WS/MP18157/2026-2027/276279-Street lights","Punjab","LUDHIANA(DEPUTY COMMISSIONER LUDHIANA_IDA)","AMRINDER SINGH RAJA WARRING","LUDHIANA","Installation of 50 LED Street Lights In Ward no. 67, Distt. Ludhiana","27-Mar-2026","149979","15-Jul-2026"
"195","Normal/Others","WS/MP18157/2026-2027/276280-Street lights","Punjab","LUDHIANA(DEPUTY COMMISSIONER LUDHIANA_IDA)","AMRINDER SINGH RAJA WARRING","LUDHIANA","Installation of 50 LED Street Lights In Ward no. 90, Distt. Ludhiana","27-Mar-2026","149979","15-Jul-2026"
"196","Normal/Others","WS/MP18157/2026-2027/276281-Street lights","Punjab","LUDHIANA(DEPUTY COMMISSIONER LUDHIANA_IDA)","AMRINDER SINGH RAJA WARRING","LUDHIANA","Installation of 50 LED Street Lights In Ward no. 92, Distt. Ludhiana","27-Mar-2026","149979","15-Jul-2026"
"197","Normal/Others","NA-Street lights","Punjab","LUDHIANA(DEPUTY COMMISSIONER LUDHIANA_IDA)","AMRINDER SINGH RAJA WARRING","LUDHIANA","Installation of 10 Solar Lights in Doctor Lane Block A, Model Town, Ext., Ward no. 53, Distt. Ludhiana","27-Mar-2026","120000","NA"
"198","Normal/Others","WS/MP18157/2025-2026/252269-Installation/ Construction of Anti-Pollution structure","Punjab","LUDHIANA(DEPUTY COMMISSIONER LUDHIANA_IDA)","AMRINDER SINGH RAJA WARRING","LUDHIANA","Provision of Five (5) fogging machines in ward no. 93, Halka North,  Distt. Ludhiana","05-Dec-2025","312500","18-Feb-2026"
"199","Normal/Others","WS/MP18157/2025-2026/241194-Fitting of Sitting RCC Benches in Public Places","Punjab","LUDHIANA(DEPUTY COMMISSIONER LUDHIANA_IDA)","AMRINDER SINGH RAJA WARRING","LUDHIANA","Sitting RCC Benches For Vill. Rangian, Block Dehlon, Distt. Ludhiana","09-Oct-2025","100000","27-Nov-2025"
"200","Normal/Others","WS/MP18157/2025-2026/232177-Fitting of Sitting RCC Benches in Public Places","Punjab","LUDHIANA(DEPUTY COMMISSIONER LUDHIANA_IDA)","AMRINDER SINGH RAJA WARRING","LUDHIANA","Sitting RCC Benches In Vill. Kailpur, Block Sudhar, Distt. Ludhiana","08-Sep-2025","100000","13-Nov-2025"
"201","Normal/Others","WS/MP18157/2025-2026/188766-Fitting of Sitting RCC Benches in Public Places","Punjab","LUDHIANA(DEPUTY COMMISSIONER LUDHIANA_IDA)","AMRINDER SINGH RAJA WARRING","LUDHIANA","RCC Sitting Bench In Vill. New Salempura, Block Sidhwan Bet, Distt. Ludhiana","02-Apr-2025","84000","08-May-2025"
"202","Normal/Others","WS/MP18157/2025-2026/188726-Fitting of Sitting RCC Benches in Public Places","Punjab","LUDHIANA(DEPUTY COMMISSIONER LUDHIANA_IDA)","AMRINDER SINGH RAJA WARRING","LUDHIANA","RCC Sitting Bench In Vill. Gorsian Khan Mohammad, Block Sidhwan Bet, Distt. Ludhiana.","02-Apr-2025","50000","08-May-2025"
"203","Normal/Others","WS/MP18157/2025-2026/188727-Fitting of Sitting RCC Benches in Public Places","Punjab","LUDHIANA(DEPUTY COMMISSIONER LUDHIANA_IDA)","AMRINDER SINGH RAJA WARRING","LUDHIANA","RCC Sitting Bench In Vill. Kot Umra, Block Sidhwan Bet, Distt. Ludhiana.","02-Apr-2025","165000","08-May-2025"
"204","Normal/Others","WS/MP18157/2024-2025/172453-Fitting of Sitting RCC Benches in Public Places","Punjab","LUDHIANA(DEPUTY COMMISSIONER LUDHIANA_IDA)","AMRINDER SINGH RAJA WARRING","LUDHIANA","RCC Sitting Bench in Village Nishant Bagh Colony, Block Ludhiana-1, Distt. Ludhiana","04-Feb-2025","100000","17-Mar-2025"
"205","Normal/Others","WS/MP18157/2024-2025/172491-Fitting of Sitting RCC Benches in Public Places","Punjab","LUDHIANA(DEPUTY COMMISSIONER LUDHIANA_IDA)","AMRINDER SINGH RAJA WARRING","LUDHIANA","RCC Sitting Bench in Village Duley, Block Ludhiana-1, Distt. Ludhiana","04-Feb-2025","100000","17-Mar-2025"
"206","Normal/Others","WS/MP18157/2024-2025/157073-Fitting of Sitting RCC Benches in Public Places","Punjab","LUDHIANA(DEPUTY COMMISSIONER LUDHIANA_IDA)","AMRINDER SINGH RAJA WARRING","LUDHIANA","30RCC Sitting Bench at Guru Nanak Colony Park, Dhandari, Ward no-30, Distt. Ludhiana","05-Dec-2024","167000","10-Feb-2025"
"207","Normal/Others","WS/MP18157/2024-2025/157075-Fitting of Sitting RCC Benches in Public Places","Punjab","LUDHIANA(DEPUTY COMMISSIONER LUDHIANA_IDA)","AMRINDER SINGH RAJA WARRING","LUDHIANA","25RCC Sitting Bench at Bhagat Ravidas ji Park, Reru Sahib, Ward no-32, Distt. Ludhiana","05-Dec-2024","139562","10-Feb-2025"
"208","Normal/Others","WS/MP18157/2024-2025/157076-Fitting of Sitting RCC Benches in Public Places","Punjab","LUDHIANA(DEPUTY COMMISSIONER LUDHIANA_IDA)","AMRINDER SINGH RAJA WARRING","LUDHIANA","15RCC Sitting Bench at Lovely Lab vala Park, Giaspura, Distt. Ludhiana","05-Dec-2024","83737","10-Feb-2025"
"209","Normal/Others","WS/MP18157/2024-2025/163213-Fitting of Sitting RCC Benches in Public Places","Punjab","LUDHIANA(DEPUTY COMMISSIONER LUDHIANA_IDA)","AMRINDER SINGH RAJA WARRING","LUDHIANA","8RCC Sitting Bench, Ward no-40 (New Ward no-34), Distt. Ludhiana","02-Jan-2025","44660","10-Feb-2025"
"210","Normal/Others","WS/MP18157/2024-2025/163214-Fitting of Sitting RCC Benches in Public Places","Punjab","LUDHIANA(DEPUTY COMMISSIONER LUDHIANA_IDA)","AMRINDER SINGH RAJA WARRING","LUDHIANA","8RCC Sitting Bench, Ward no-41 (New Ward no-38), Distt. Ludhiana","02-Jan-2025","44660","10-Feb-2025"
"211","Normal/Others","WS/MP18157/2024-2025/163216-Fitting of Sitting RCC Benches in Public Places","Punjab","LUDHIANA(DEPUTY COMMISSIONER LUDHIANA_IDA)","AMRINDER SINGH RAJA WARRING","LUDHIANA","8RCC Sitting Bench, Ward no-42 (New Ward no-39), Distt. Ludhiana","02-Jan-2025","44660","10-Feb-2025"
"212","Normal/Others","WS/MP18157/2024-2025/163218-Fitting of Sitting RCC Benches in Public Places","Punjab","LUDHIANA(DEPUTY COMMISSIONER LUDHIANA_IDA)","AMRINDER SINGH RAJA WARRING","LUDHIANA","8RCC Sitting Bench, Ward no-44 (New Ward no-41), Distt. Ludhiana","02-Jan-2025","44660","10-Feb-2025"
"213","Normal/Others","WS/MP18157/2024-2025/163219-Fitting of Sitting RCC Benches in Public Places","Punjab","LUDHIANA(DEPUTY COMMISSIONER LUDHIANA_IDA)","AMRINDER SINGH RAJA WARRING","LUDHIANA","8RCC Sitting Bench, Ward no-45 (New Ward no-50), Distt. Ludhiana","02-Jan-2025","44660","10-Feb-2025"
"214","Normal/Others","WS/MP18157/2024-2025/163220-Fitting of Sitting RCC Benches in Public Places","Punjab","LUDHIANA(DEPUTY COMMISSIONER LUDHIANA_IDA)","AMRINDER SINGH RAJA WARRING","LUDHIANA","8RCC Sitting Bench, Ward no-46 (New Ward no-42), Distt. Ludhiana","02-Jan-2025","44660","10-Feb-2025"
"215","Normal/Others","WS/MP18157/2024-2025/163221-Fitting of Sitting RCC Benches in Public Places","Punjab","LUDHIANA(DEPUTY COMMISSIONER LUDHIANA_IDA)","AMRINDER SINGH RAJA WARRING","LUDHIANA","8RCC Sitting Bench, Ward no-47 (New Ward no-48), Distt. Ludhiana","02-Jan-2025","44660","10-Feb-2025"
